cite_key,entry_type,bib_title,bib_date,doi,format_valid,resolves,status_code,crossref_title,crossref_year,title_similarity,year_match,error,suggested_doi,suggested_title,suggested_year,suggestion_score,isbn,isbn_confirmed,isbn_ol_found,isbn_gb_found,isbn_found_title,isbn_found_year,isbn_title_match,isbn_found_doi
Fiorina1978-wf,ARTICLE,Economic retrospective voting in American national elections: A micro-analysis,1978-05,10.2307/2110623,True,True,200,Economic Retrospective Voting in American National Elections: A Micro-Analysis,1978,1.0,yes,,,,,,,,,,,,,
Foa2016-lq,ARTICLE,The democratic disconnect,2016,10.1353/jod.2016.0049,True,True,200,The Democratic Disconnect,2016,1.0,yes,,,,,,,,,,,,,
Graham2020-jr,ARTICLE,"Democracy in America? Partisanship, polarization, and the robustness of support for democracy in the United States",2020-05,10.1017/s0003055420000052,True,True,200,"Democracy in America? Partisanship, Polarization, and the Robustness of Support for Democracy in the United States",2020,1.0,yes,,,,,,,,,,,,,
Hsiao2020-fz,ARTICLE,Polarization perception and support for democracy: The case of Taiwan,2020-12,10.1177/0021909620911150,True,True,200,Polarization Perception and Support for Democracy: The Case of Taiwan,2020,1.0,yes,,,,,,,,,,,,,
Inglehart1997-gw,BOOK,"Modernization and postmodernization: Cultural, economic, and political change in 43 societies",1997-05-05,10.1515/9780691214429,True,True,200,Modernization and Postmodernization,1997,0.56,yes,,,,,,,,,,,,,
Kahneman1979-af,ARTICLE,Prospect theory: An analysis of decision under risk,1979-03,10.2307/1914185,True,True,200,Prospect Theory: An Analysis of Decision under Risk,1979,1.0,yes,,,,,,,,,,,,,
Kuhonta2014-qk,ARTICLE,Democratic regression in Thailand: The ambivalent role of civil society and political institutions,2014-12-30,10.1355/cs36-3a,True,True,200,Democratic Regression in Thailand: The Ambivalent Role of Civil Society and Political Institutions,2014,1.0,yes,,,,,,,,,,,,,
Kunda1990-uw,ARTICLE,The case for motivated reasoning,1990,10.1037/0033-2909.108.3.480,True,True,200,The case for motivated reasoning.,1990,1.0,yes,,,,,,,,,,,,,
Linz1996-qs,ARTICLE,Toward consolidated democracies,1996,10.1353/jod.1996.0031,True,True,200,Toward Consolidated Democracies,1996,1.0,yes,,,,,,,,,,,,,
Luhrmann2019-ow,ARTICLE,A third wave of autocratization is here: what is new about it?,2019-10-03,10.1080/13510347.2019.1582029,True,True,200,A third wave of autocratization is here: what is new about it?,2019,1.0,yes,,,,,,,,,,,,,
Mauk2020-bu,BOOK,Citizen support for democratic and autocratic regimes,2020-04-29,10.1093/oso/9780198854852.001.0001,True,True,200,Citizen Support for Democratic and Autocratic Regimes,2020,1.0,yes,,,,,,,,,,,,,
McCargo2019-rx,ARTICLE,Southeast Asia's troubling elections: Democratic demolition in Thailand,2019,10.1353/jod.2019.0056,True,True,200,Southeast Asia's Troubling Elections: Democratic Demolition in Thailand,2019,1.0,yes,,,,,,,,,,,,,
Nadeau1993-vo,ARTICLE,Accepting the election outcome: The effect of participation on losers' consent,1993-10,10.1017/s0007123400006736,True,True,200,Accepting the Election Outcome: The Effect of Participation on Losers' Consent,1993,1.0,yes,,,,,,,,,,,,,
Norris2011-qz,BOOK,Democratic deficit: Critical citizens revisited,2011-02-21,10.1017/cbo9780511973383,True,True,200,Democratic Deficit,2011,0.56,yes,,,,,,,,,,,,,
Norris2012-er,BOOK,"Making democratic governance work: How regimes shape prosperity, welfare, and peace",2012-08-27,10.1017/cbo9781139061902,True,True,200,Making Democratic Governance Work,2012,0.58,yes,,,,,,,,,,,,,
Ockey2004-ek,BOOK,"Making democracy: Leadership, class, gender, and political participation in Thailand",2004-08-31,10.1515/9780824842659,True,True,200,Making Democracy,2017,0.33,no,,,,,,,,,,,,,
Pankaew2022-pr,ARTICLE,Determinants of political participation in Thailand: An analysis of survey data (2002–2014),2022-01,10.1111/aspp.12625,True,True,200,Determinants of political participation in Thailand: An analysis of survey data (2002–2014),2022,1.0,yes,,,,,,,,,,,,,
Rich2025-gd,ARTICLE,"When the tables turn: Parties in power, losers’ consent, and institutional trust in Taiwan",2025-03,10.1177/20578911231225501,True,True,200,"When the tables turn: Parties in power, losers’ consent, and institutional trust in Taiwan",2025,1.0,yes,,,,,,,,,,,,,
Ricks2019-hs,ARTICLE,Thailand's 2019 vote: The general's election,2019-09-01,10.5509/2019923443,True,True,200,Thailand's 2019 Vote: The General's Election,2019,1.0,yes,,,,,,,,,,,,,
Ricks2025-il,ARTICLE,Voting for winners and losers in a hybrid regime: How Thailand's 2023 election shaped voter opinion,2025-08,10.1177/18681034251341319,True,True,200,Voting for Winners and Losers in a Hybrid Regime: How Thailand's 2023 Election Shaped Voter Opinion,2025,1.0,yes,,,,,,,,,,,,,
Schedler1998-dl,ARTICLE,What is democratic consolidation?,1998,10.1353/jod.1998.0030,True,True,200,What is Democratic Consolidation?,1998,1.0,yes,,,,,,,,,,,,,
Schumpeter2013-em,BOOK,"Capitalism, socialism and democracy",2013-05-13,10.4324/9780203202050,True,True,200,"Capitalism, Socialism and Democracy",2013,1.0,yes,,,,,,,,,,,,,
Shin2011-kc,BOOK,Confucianism and democratization in east Asia,2011-12-30,10.1017/cbo9781139084086,True,True,200,Confucianism and Democratization in East Asia,2011,1.0,yes,,,,,,,,,,,,,
Shin2018-mq,ARTICLE,How global citizenries think about democracy: An evaluation and synthesis of recent public opinion research,2018-06,10.1017/s1468109918000063,True,True,200,How Global Citizenries Think about Democracy: An Evaluation and Synthesis of Recent Public Opinion Research,2018,1.0,yes,,,,,,,,,,,,,
Singh2012-hj,ARTICLE,Differentiating winners: How elections affect satisfaction with democracy,2012-03,10.1016/j.electstud.2011.11.001,True,True,200,Differentiating winners: How elections affect satisfaction with democracy,2012,1.0,yes,,,,,,,,,,,,,
Sinpeng2021-hd,ARTICLE,Hashtag activism: social media and the \#FreeYouth protests in Thailand,2021-04-03,10.1080/14672715.2021.1882866,True,True,200,Hashtag activism: social media and the #FreeYouth protests in Thailand,2021,1.0,yes,,,,,,,,,,,,,
Slater2010-ba,BOOK,Cambridge studies in comparative politics: Ordering power: Contentious politics and authoritarian leviathans in southeast Asia,2010-09-13,10.1017/cbo9780511760891,True,True,200,Ordering Power,2010,0.2,yes,,,,,,,,,,,,,
Svolik2019-zi,ARTICLE,Polarization versus democracy,2019,10.1353/jod.2019.0039,True,True,200,Polarization versus Democracy,2019,1.0,yes,,,,,,,,,,,,,
Taber2006-kx,ARTICLE,Motivated skepticism in the evaluation of political beliefs,2006-07,10.1111/j.1540-5907.2006.00214.x,True,True,200,Motivated Skepticism in the Evaluation of Political Beliefs,2006,1.0,yes,,,,,,,,,,,,,
Waldner2018-yw,ARTICLE,Unwelcome change: Coming to terms with democratic backsliding,2018-05-11,10.1146/annurev-polisci-050517-114628,True,True,200,Unwelcome Change: Coming to Terms with Democratic Backsliding,2018,1.0,yes,,,,,,,,,,,,,
Wu2022-hz,ARTICLE,Regime Types and Winner-Loser Gaps in Support for Democracy in East Asia,2022,10.1080/13510347.2022.2082887,True,False,404,,,,,DOI not found (404),,,,,,,,,,,,
