"variable","label","type","wave","subgroup_type","subgroup_value","estimate","se","ci_lower","ci_upper","valid_n"
"dem_country_future","Dem future","mean",4,"education","Secondary",7.28735632183908,0.231815362659368,6.82980580357183,7.74490684010632,174
"dem_country_future","Dem future","mean",4,"education","Tertiary",7.46666666666667,0.660927678967523,6.04911777914071,8.88421555419262,15
"corrupt_witnessed","Corrupt witnessed","prop",4,"urban_rural","Urban",0.656084656084656,0.0345521291723617,0.583148520892611,0.722562047812432,189
"corrupt_witnessed","Corrupt witnessed","prop",4,"urban_rural","Rural",0.622702702702703,0.0159371755356293,0.590472427004904,0.653900517576263,925
"corrupt_witnessed","Corrupt witnessed","prop",4,"age","Under 30",0.598591549295775,0.0290870298286301,0.538855607732888,0.655615233321686,284
"corrupt_witnessed","Corrupt witnessed","prop",4,"age","30-49",0.670634920634921,0.0209346926622989,0.627432521367795,0.711193708773636,504
"corrupt_witnessed","Corrupt witnessed","prop",4,"age","50+",0.588957055214724,0.0272506341642607,0.533267400548771,0.642515511437932,326
"corrupt_witnessed","Corrupt witnessed","prop",4,"education","Primary or below",0.59058487874465,0.0185722316512087,0.553067262845838,0.62709580755357,701
"corrupt_witnessed","Corrupt witnessed","prop",4,"education","Secondary",0.690860215053763,0.0239607866425806,0.640761452947458,0.736946433509027,372
"corrupt_witnessed","Corrupt witnessed","prop",4,"education","Tertiary",0.707317073170732,0.0710581402576519,0.542631810462015,0.833532492248988,41
"single_party_rule","Single-party rule","mean",4,"urban_rural","Urban",1.63959390862944,0.0565348288428077,1.52809924220893,1.75108857504995,197
"single_party_rule","Single-party rule","mean",4,"urban_rural","Rural",1.80522088353414,0.0275870812872637,1.75108534614809,1.85935642092018,996
"single_party_rule","Single-party rule","mean",4,"age","Under 30",1.8202614379085,0.0486740921453,1.72448190500183,1.91604097081517,306
"single_party_rule","Single-party rule","mean",4,"age","30-49",1.69433962264151,0.0360556126106233,1.62350986680136,1.76516937848166,530
"single_party_rule","Single-party rule","mean",4,"age","50+",1.86554621848739,0.0477309239882253,1.77167619705449,1.9594162399203,357
"single_party_rule","Single-party rule","mean",4,"education","Primary or below",1.90824468085106,0.0317322482742043,1.8459502217409,1.97053913996123,752
"single_party_rule","Single-party rule","mean",4,"education","Secondary",1.55778894472362,0.0401075455021033,1.47893921772624,1.636638671721,398
"single_party_rule","Single-party rule","mean",4,"education","Tertiary",1.53488372093023,0.116941633932213,1.29888594919394,1.77088149266652,43
"voted_last_election","Voted","prop",4,"urban_rural","Urban",0.809045226130653,0.0278628233612022,0.746057749548644,0.859796803135099,199
"voted_last_election","Voted","prop",4,"urban_rural","Rural",0.836345381526104,0.0117226903996859,0.811556689894,0.858493277567795,996
"voted_last_election","Voted","prop",4,"age","Under 30",0.600660066006601,0.0281361348247479,0.542919200154994,0.6558056059281,303
"voted_last_election","Voted","prop",4,"age","30-49",0.902439024390244,0.0128523752301993,0.873257556004001,0.92564872965702,533
"voted_last_election","Voted","prop",4,"age","50+",0.922005571030641,0.0141530923242002,0.88798897650454,0.946645942472215,359
"voted_last_election","Voted","prop",4,"education","Primary or below",0.848084544253633,0.013045857035914,0.820059559838416,0.872504244865142,757
"voted_last_election","Voted","prop",4,"education","Secondary",0.810126582278481,0.0197337661507331,0.767182794406613,0.84690238550979,395
"voted_last_election","Voted","prop",4,"education","Tertiary",0.744186046511628,0.0665378323384735,0.585303277649285,0.859637724012441,43
"political_interest","Political interest","mean",4,"urban_rural","Urban",2.31,0.0688710104499856,2.17418936023392,2.44581063976608,200
"political_interest","Political interest","mean",4,"urban_rural","Rural",2.2875751503006,0.0294072213323217,2.22986800020527,2.34528230039593,998
"political_interest","Political interest","mean",4,"age","Under 30",2.13680781758958,0.0509907036446937,2.03647102684534,2.23714460833382,307
"political_interest","Political interest","mean",4,"age","30-49",2.31015037593985,0.0400812466916408,2.23141310892243,2.38888764295727,532
"political_interest","Political interest","mean",4,"age","50+",2.39554317548747,0.0514214067323003,2.29441719327108,2.49666915770385,359
"political_interest","Political interest","mean",4,"education","Primary or below",2.24370860927152,0.0341310172285091,2.17670549043928,2.31071172810376,755
"political_interest","Political interest","mean",4,"education","Secondary",2.36842105263158,0.0455056923202572,2.27895948611734,2.45788261914581,399
"political_interest","Political interest","mean",4,"education","Tertiary",2.40909090909091,0.166794748658032,2.07271724060009,2.74546457758173,44
"gate_contact_influential","Gate influential","prop",6,"urban_rural","Urban",0.291525423728814,0.0264599698328325,0.24102363111603,0.347560693742573,295
"gate_contact_influential","Gate influential","prop",6,"urban_rural","Rural",0.212589073634204,0.0140998711018836,0.185727949003384,0.242116705537366,842
"gate_contact_influential","Gate influential","prop",6,"age","Under 30",0.225190839694656,0.0258060828834463,0.177061074662151,0.281559260718938,262
"gate_contact_influential","Gate influential","prop",6,"age","30-49",0.248134328358209,0.018656542380565,0.212566127228579,0.287378040515365,536
"gate_contact_influential","Gate influential","prop",6,"age","50+",0.215339233038348,0.0223255774684622,0.173549179790928,0.26372164404907,339
"gate_contact_influential","Gate influential","prop",6,"education","Primary or below",0.199372056514914,0.0158298864647891,0.169454061004737,0.232984973962293,637
"gate_contact_influential","Gate influential","prop",6,"education","Secondary",0.271867612293144,0.0216328494235603,0.230548158731071,0.317407152247043,423
"gate_contact_influential","Gate influential","prop",6,"education","Tertiary",0.302631578947368,0.0526964627759266,0.205250051917776,0.420180544319401,76
"dem_country_future","Dem future","mean",6,"urban_rural","Urban",6.94444444444444,0.211211337945897,6.52643099333207,7.36245789555682,126
"dem_country_future","Dem future","mean",6,"urban_rural","Rural",6.56626506024096,0.133942992181253,6.30277819241139,6.82975192807054,332
"dem_country_future","Dem future","mean",6,"age","Under 30",6.52293577981651,0.227484706268368,6.07202162719331,6.97384993243972,109
"dem_country_future","Dem future","mean",6,"age","30-49",6.93150684931507,0.165012481564547,6.60628282515148,7.25673087347866,219
"dem_country_future","Dem future","mean",6,"age","50+",6.35384615384615,0.211156211258292,5.93606841834366,6.77162388934865,130
"dem_country_future","Dem future","mean",6,"education","Primary or below",6.77220077220077,0.152673139449939,6.47155661435527,7.07284493004627,259
"dem_country_future","Dem future","mean",6,"education","Secondary",6.39156626506024,0.17899441156354,6.03815153133765,6.74498099878283,166
"dem_country_future","Dem future","mean",6,"education","Tertiary",7.34375,0.470092164522194,6.38499070941139,8.30250929058861,32
"corrupt_witnessed","Corrupt witnessed","prop",6,"urban_rural","Urban",0.176271186440678,0.0221856309637394,0.135517957028379,0.225668001713563,295
"corrupt_witnessed","Corrupt witnessed","prop",6,"urban_rural","Rural",0.139772727272727,0.0116889765466652,0.117897711704553,0.164856378709608,880
"corrupt_witnessed","Corrupt witnessed","prop",6,"age","Under 30",0.164179104477612,0.0226281034921461,0.122992671139988,0.215250830749695,268
"corrupt_witnessed","Corrupt witnessed","prop",6,"age","30-49",0.14954954954955,0.0151380721504017,0.12147076746572,0.182591611060161,555
"corrupt_witnessed","Corrupt witnessed","prop",6,"age","50+",0.136363636363636,0.0182912512496134,0.103166920248247,0.177719112658887,352
"corrupt_witnessed","Corrupt witnessed","prop",6,"education","Primary or below",0.139430284857571,0.0134124670976796,0.114514576393094,0.168592531184264,667
"corrupt_witnessed","Corrupt witnessed","prop",6,"education","Secondary",0.162790697674419,0.0178031801722166,0.12985618842275,0.201894251269889,430
"corrupt_witnessed","Corrupt witnessed","prop",6,"education","Tertiary",0.155844155844156,0.0413343596158096,0.08654841940181,0.260353573527783,77
"single_party_rule","Single-party rule","mean",6,"urban_rural","Urban",2.09420289855072,0.057569425881108,1.98087012225249,2.20753567484896,276
"single_party_rule","Single-party rule","mean",6,"urban_rural","Rural",2.24460431654676,0.0311499152420179,2.18346276696449,2.30574586612904,834
"single_party_rule","Single-party rule","mean",6,"age","Under 30",2.29838709677419,0.0599180138942763,2.18037169250675,2.41640250104164,248
"single_party_rule","Single-party rule","mean",6,"age","30-49",2.19238095238095,0.0389600137923278,2.11584394618444,2.26891795857746,525
"single_party_rule","Single-party rule","mean",6,"age","50+",2.16320474777448,0.0506095160443852,2.06365333041691,2.26275616513205,337
"single_party_rule","Single-party rule","mean",6,"education","Primary or below",2.21690590111643,0.0365554504147097,2.14511974172981,2.28869206050305,627
"single_party_rule","Single-party rule","mean",6,"education","Secondary",2.16788321167883,0.0442139732226121,2.08096884926804,2.25479757408962,411
"single_party_rule","Single-party rule","mean",6,"education","Tertiary",2.33802816901408,0.121928933307057,2.09484857942782,2.58120775860035,71
"voted_last_election","Voted","prop",6,"urban_rural","Urban",0.921311475409836,0.0154173247969627,0.883692891458788,0.947892599519009,305
"voted_last_election","Voted","prop",6,"urban_rural","Rural",0.867564534231201,0.0113557074242844,0.843123389906388,0.888770649391241,891
"voted_last_election","Voted","prop",6,"age","Under 30",0.802973977695167,0.0242513762947941,0.74932312566939,0.847763487702947,269
"voted_last_election","Voted","prop",6,"age","30-49",0.902309058614565,0.0125126877957252,0.874010285338794,0.924959388675359,563
"voted_last_election","Voted","prop",6,"age","50+",0.906593406593407,0.0152526165756309,0.870757081355602,0.933553137016927,364
"voted_last_election","Voted","prop",6,"education","Primary or below",0.879234167893962,0.012505165112645,0.851771372174501,0.90230269897641,679
"voted_last_election","Voted","prop",6,"education","Secondary",0.876712328767123,0.0157091007967396,0.841356081563057,0.905277707542192,438
"voted_last_election","Voted","prop",6,"education","Tertiary",0.923076923076923,0.0301717130981821,0.834117025514899,0.968342673942175,78
"political_interest","Political interest","mean",6,"urban_rural","Urban",1.9375,0.0537192071188625,1.83179004971937,2.04320995028063,304
"political_interest","Political interest","mean",6,"urban_rural","Rural",2.10099889012209,0.0294188605535537,2.04326133644849,2.15873644379568,901
"political_interest","Political interest","mean",6,"age","Under 30",2.08208955223881,0.0557241131156918,1.97237497992924,2.19180412454837,268
"political_interest","Political interest","mean",6,"age","30-49",2.03521126760563,0.037516743852306,1.96152250463469,2.10890003057658,568
"political_interest","Political interest","mean",6,"age","50+",2.08130081300813,0.0468113207428385,1.98924956824691,2.17335205776935,369
"political_interest","Political interest","mean",6,"education","Primary or below",2.05856515373353,0.034037411620456,1.99173445015386,2.1253958573132,683
"political_interest","Political interest","mean",6,"education","Secondary",2.06772009029345,0.0428764864412152,1.98345297670676,2.15198720388015,443
"political_interest","Political interest","mean",6,"education","Tertiary",2.01282051282051,0.11023782262451,1.79330896398141,2.23233206165961,78
