"wave","wave_n","auth_items_used","mean_na_all_political","mean_na_dem_expectations","na_dem_future","na_dem_past","na_dem_present","n_auth_complete","n_straightliners","straightline_rate","auth_acquiescence_rate","dem_ceiling_rate_9_10","table","variable","na_rate_value","na_pct"
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","dem_country_future",0.54,54
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","dem_country_future",0.6312,63.1
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","dem_country_past",1,100
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","dem_country_past",0.2075,20.8
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","dem_country_past",0.2183,21.8
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","dem_country_past",0.3084,30.8
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","dem_country_present_govt",0.528,52.8
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","dem_country_present_govt",0.385,38.5
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","dem_country_present_govt",0.3667,36.7
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","dem_country_present_govt",0.4251,42.5
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","expert_rule",1,100
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","expert_rule",0.0092,0.9
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","expert_rule",0.01,1
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","expert_rule",0.1216,12.2
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_civil_servant",0.001,0.1
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_civil_servant",8e-04,0.1
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_civil_servant",0.0042,0.4
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_civil_servant",0.0837,8.4
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_elected",0.002,0.2
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_elected",0.0025,0.2
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_elected",0.015,1.5
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_elected",0.099,9.9
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_influential",0.003,0.3
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_influential",0.0033,0.3
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_influential",0,0
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_influential",0.0845,8.5
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_media",1,100
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_media",0.0017,0.2
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_media",0.01,1
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_contact_media",0.099,9.9
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_demonstration",1,100
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_demonstration",0,0
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_demonstration",0.0083,0.8
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_demonstration",0.1449,14.5
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_petition",1,100
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_petition",0,0
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_petition",0.01,1
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","gate_petition",0.1063,10.6
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","military_rule",0.082,8.2
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","military_rule",0.0108,1.1
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","military_rule",0.0158,1.6
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","military_rule",0.1393,13.9
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","news_internet",1,100
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","news_internet",8e-04,0.1
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","news_internet",0,0
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","news_internet",0.0193,1.9
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","pol_discuss",0.002,0.2
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","pol_discuss",0.0017,0.2
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","pol_discuss",0.0017,0.2
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","pol_discuss",0.0225,2.2
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","pol_news_follow",1,100
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","pol_news_follow",8e-04,0.1
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","pol_news_follow",0,0
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","pol_news_follow",0.0443,4.4
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","political_interest",0.004,0.4
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","political_interest",0.0017,0.2
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","political_interest",0.0017,0.2
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","political_interest",0.0298,3
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","single_party_rule",0.088,8.8
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","single_party_rule",0.0092,0.9
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","single_party_rule",0.0058,0.6
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","single_party_rule",0.1063,10.6
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","strongman_rule",0.099,9.9
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","strongman_rule",0.005,0.5
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","strongman_rule",0.0275,2.8
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","strongman_rule",0.1192,11.9
2,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","voted_last_election",1,100
3,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","voted_last_election",0.0033,0.3
4,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","voted_last_election",0.0042,0.4
6,1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"per_variable_na","voted_last_election",0.037,3.7
