"variable","label","type","wave","estimate","se","ci_lower","ci_upper","valid_n"
"pol_news_follow","Follows political news","mean",3,3.0650542118432,0.0366454245230223,2.99315786244421,3.1369505612422,1199
"news_internet","Internet news (harmonized)","mean",3,1.21517931609675,0.0269399412077944,1.16232460227983,1.26803402991367,1199
"political_interest","Political interest","mean",3,2.57011686143573,0.0258685412916359,2.5193641336754,2.62086958919605,1198
"pol_discuss","Discusses politics","mean",3,1.45492487479132,0.0164292219274068,1.42269159892179,1.48715815066085,1198
"gate_contact_elected","Contacted elected official","prop",4,0.044839255499154,0.00601947605141283,0.034073832255739,0.0586583532049541,1182
"gate_contact_civil_servant","Contacted civil servant","prop",4,0.109623430962343,0.00903763096788209,0.0927575034467762,0.12904998592287,1195
"gate_contact_influential","Contacted influential person","prop",4,0.559166666666667,0.0143323441196115,0.530513083833296,0.587437055935209,1200
"gate_petition","Signed petition","prop",4,0.144781144781145,0.0102090755202064,0.125520645282127,0.166379484329823,1188
"gate_demonstration","Attended demonstration","prop",4,0.0453781512605042,0.00603344840905892,0.0345772380826247,0.059207764345979,1190
"gate_contact_media","Contacted media","prop",4,0.0336700336700337,0.00523330779948513,0.0244644189014148,0.0460035772981713,1188
"community_leader_contact","Community leader contact","mean",4,2.00416666666667,0.0271807954240687,1.95083945482778,2.05749387850555,1200
"voted_last_election","Voted in last election","prop",4,0.831799163179916,0.0108203015183592,0.809097941332773,0.852332178509563,1195
"expert_rule","Expert rule","mean",4,1.65909090909091,0.0223583616667414,1.61522459648731,1.70295722169451,1188
"single_party_rule","Single-party rule","mean",4,1.77787091366303,0.0249063090246056,1.7290058279232,1.82673599940287,1193
"strongman_rule","Strongman rule","mean",4,1.75578406169666,0.0252187383148925,1.70630488198829,1.80526324140502,1167
"military_rule","Military rule","mean",4,1.9813717188823,0.0277040173538998,1.92701709030194,2.03572634746266,1181
"dem_country_future","Democratic future (0-10)","mean",4,7.71739130434783,0.121931457461357,7.47788394093714,7.95689866775851,552
"dem_country_past","Democratic past (0-10)","mean",4,3.86567164179104,0.0596673494311004,3.748574529669,3.98276875391309,938
"dem_country_present_govt","Democratic present (0-10)","mean",4,5.05657894736842,0.086063055771882,4.88762904351031,5.22552885122653,760
"corrupt_witnessed","Witnessed corruption","prop",4,0.628366247755835,0.0144784277851031,0.599139045157396,0.656697261152594,1114
"corrupt_national_govt","National govt corruption","mean",4,2.89688888888889,0.021269312134627,2.85515686537987,2.9386209123979,1125
"corrupt_local_govt","Local govt corruption","mean",4,2.56334459459459,0.0232821956907894,2.51766559475479,2.6090235944344,1184
"pol_news_follow","Follows political news","mean",4,2.8575,0.0401435471607687,2.77874058880518,2.93625941119482,1200
"news_internet","Internet news (harmonized)","mean",4,1.82083333333333,0.0525449035940469,1.7177431492053,1.92392351746136,1200
"political_interest","Political interest","mean",4,2.29131886477462,0.0270508241844747,2.23824655968988,2.34439116985937,1198
"pol_discuss","Discusses politics","mean",4,1.46994991652755,0.0177228058407083,1.435178696541,1.5047211365141,1198
"gate_contact_elected","Contacted elected official","prop",6,0.133154602323503,0.0101562614329548,0.114081037977873,0.154794401384685,1119
"gate_contact_civil_servant","Contacted civil servant","prop",6,0.37170474516696,0.0143255007423078,0.343671711145797,0.400614501979706,1138
"gate_contact_influential","Contacted influential person","prop",6,0.233069481090589,0.01253835270457,0.208996315320651,0.258972363913493,1137
"gate_petition","Signed petition","prop",6,0.305405405405405,0.0138242815415214,0.278582128545656,0.333593202043231,1110
"gate_demonstration","Attended demonstration","prop",6,0.0329566854990584,0.0054781316989886,0.0233949804834823,0.0460305609030604,1062
"gate_contact_media","Contacted media","prop",6,0.12153708668454,0.00976789726704058,0.103260964062385,0.142462997940454,1119
"community_leader_contact","Community leader contact","mean",6,1.38698328935796,0.0219043784542474,1.34400570634859,1.42996087236733,1137
"voted_last_election","Voted in last election","prop",6,0.881270903010033,0.00935336124897216,0.86126225226232,0.898782707877135,1196
"expert_rule","Expert rule","mean",6,2.10999083409716,0.027400073894097,2.05622797754323,2.16375369065108,1091
"single_party_rule","Single-party rule","mean",6,2.20720720720721,0.0274912274615406,2.15326652163367,2.26114789278074,1110
"strongman_rule","Strongman rule","mean",6,2.17367458866545,0.0287303050063056,2.11730180076761,2.23004737656329,1094
"military_rule","Military rule","mean",6,2.20860617399439,0.0294840122568855,2.15075300812441,2.26645933986436,1069
"dem_country_future","Democratic future (0-10)","mean",6,6.6703056768559,0.11330797081201,6.44763642279277,6.89297493091902,458
"dem_country_past","Democratic past (0-10)","mean",6,4.78463329452852,0.0694331682639568,4.64835454418904,4.920912044868,859
"dem_country_present_govt","Democratic present (0-10)","mean",6,5.77450980392157,0.076183783486868,5.62493843227197,5.92408117557116,714
"corrupt_witnessed","Witnessed corruption","prop",6,0.148936170212766,0.010386332566555,0.129324078102958,0.170883940980765,1175
"corrupt_national_govt","National govt corruption","mean",6,2.3307240704501,0.020863758327519,2.28978332251806,2.37166481838213,1022
"corrupt_local_govt","Local govt corruption","mean",6,2.36428571428571,0.0231224118966252,2.31891052233006,2.40966090624137,980
"pol_news_follow","Follows political news","mean",6,2.03622577927549,0.0351711719338504,1.96722112797483,2.10523043057614,1187
"news_internet","Internet news (harmonized)","mean",6,4.66091954022989,0.0619399919753728,4.53939853037026,4.78244055008951,1218
"political_interest","Political interest","mean",6,2.0597510373444,0.025906297910482,2.00892453216292,2.11057754252588,1205
"pol_discuss","Discusses politics","mean",6,1.25782537067545,0.0136481466911557,1.23104877674383,1.28460196460708,1214
