cite_key,entry_type,bib_title,bib_date,doi,format_valid,resolves,status_code,crossref_title,crossref_year,title_similarity,year_match,error,suggested_doi,suggested_title,suggested_year,suggestion_score,isbn,isbn_confirmed,isbn_ol_found,isbn_gb_found,isbn_found_title,isbn_found_year,isbn_title_match,isbn_found_doi
Healy2013-sy,ARTICLE,Retrospective voting reconsidered,2013-05-11,10.1146/annurev-polisci-032211-212920,True,True,200,Retrospective Voting Reconsidered,2013,1.0,yes,,,,,,,,,,,,,
Hegewald2024-ii,ARTICLE,Who rallies around the flag? Evidence from panel data during the Covid-19 pandemic,2024-01-02,10.1080/17457289.2022.2120886,True,True,200,Who rallies around the flag? Evidence from panel data during the Covid-19 pandemic,2024,1.0,yes,,,,,,,,,,,,,
Hetherington2003-oq,ARTICLE,Anatomy of a rally effect: George W. bush and the war on terrorism,2003-01,10.1017/s1049096503001665,True,True,200,Anatomy of a Rally Effect: George W. Bush and the War on Terrorism,2003,1.0,yes,,,,,,,,,,,,,
Iyengar1994-fk,BOOK,Is Anyone Responsible?: How television frames political issues,1994-08-17,10.7208/chicago/9780226388533.001.0001,True,True,200,Is Anyone Responsible?,1991,0.52,no,,,,,,,,,,,,,
Kerkvliet2015-lp,INBOOK,Democracy in Thailand: theory and practice,2015-04-24,10.4324/9781315674735-31,True,True,200,Democracy in Thailand: theory and practice,2015,1.0,yes,,,,,,,,,,,,,
Kongkirati2018-go,ARTICLE,The Prayuth regime: Embedded military and hierarchical capitalism in Thailand,2018-07,10.1017/trn.2018.4,True,True,200,The Prayuth Regime: Embedded Military and Hierarchical Capitalism in Thailand,2018,1.0,yes,,,,,,,,,,,,,
Kritzinger2021-im,ARTICLE,‘Rally round the flag’: the COVID-19 crisis and trust in the national government,2021-09-19,10.1080/01402382.2021.1925017,True,True,200,‘Rally round the flag’: the COVID-19 crisis and trust in the national government,2021,1.0,yes,,,,,,,,,,,,,
La2020-jv,ARTICLE,"Policy response, social media and science journalism for the sustainability of the public health system amid the COVID-19 outbreak: The Vietnam lessons",2020-04-07,10.3390/su12072931,True,True,200,"Policy Response, Social Media and Science Journalism for the Sustainability of the Public Health System Amid the COVID-19 Outbreak: The Vietnam Lessons",2020,1.0,yes,,,,,,,,,,,,,
Lipset1959-ur,ARTICLE,Some social requisites of democracy: Economic development and political legitimacy,1959-03,10.2307/1951731,True,True,200,Some Social Requisites of Democracy: Economic Development and Political Legitimacy,1959,1.0,yes,,,,,,,,,,,,,
Lupia1994-jp,ARTICLE,Shortcuts versus encyclopedias: Information and voting behavior in California insurance reform elections,1994-03,10.2307/2944882,True,True,200,Shortcuts Versus Encyclopedias: Information and Voting Behavior in California Insurance Reform Elections,1994,1.0,yes,,,,,,,,,,,,,
Ma2014-jj,ARTICLE,Authoritarian orientations and political trust in east Asian societies,2014-12,10.1007/s12140-014-9217-z,True,True,200,Authoritarian Orientations and Political Trust in East Asian Societies,2014,1.0,yes,,,,,,,,,,,,,
Malesky2014-wz,ARTICLE,The political economy of development in China and Vietnam,2014-05-11,10.1146/annurev-polisci-041811-150032,True,True,200,The Political Economy of Development in China and Vietnam,2014,1.0,yes,,,,,,,,,,,,,
Miller1990-qm,ARTICLE,"Political parties and confidence in government: A comparison of Norway, Sweden and the United States",1990-07,10.1017/s0007123400005883,True,True,200,"Political Parties and Confidence in Government: A Comparison of Norway, Sweden and the United States",1990,1.0,yes,,,,,,,,,,,,,
Morgenbesser2020-ya,ARTICLE,The menu of autocratic innovation,2020-08-17,10.1080/13510347.2020.1746275,True,True,200,The menu of autocratic innovation,2020,1.0,yes,,,,,,,,,,,,,
Mueller1970-kf,ARTICLE,Presidential popularity from Truman to Johnson,1970-03,10.2307/1955610,True,True,200,Presidential Popularity from Truman to Johnson,1970,1.0,yes,,,,,,,,,,,,,
Pernia2022-gh,ARTICLE,Authoritarian values and institutional trust: Theoretical considerations and evidence from the Philippines,2022-06,10.1177/2057891121992118,True,True,200,Authoritarian values and institutional trust: Theoretical considerations and evidence from the Philippines,2022,1.0,yes,,,,,,,,,,,,,
Popkin1994-yv,BOOK,The reasoning voter: Communication and persuasion in presidential campaigns,1994-04-01,10.7208/chicago/9780226772875.001.0001,True,True,200,The Reasoning Voter,1991,0.41,no,,,,,,,,,,,,,
Rothstein2009-lr,ARTICLE,Creating political legitimacy: Electoral democracy versus quality of government,2009-11,10.1177/0002764209338795,True,True,200,Creating Political Legitimacy,2009,0.54,yes,,,,,,,,,,,,,
Rozenas2019-jk,ARTICLE,Mass repression and political loyalty: Evidence from Stalin’s ‘terror by hunger’,2019-05,10.1017/s0003055419000066,True,True,200,Mass Repression and Political Loyalty: Evidence from Stalin’s ‘Terror by Hunger’,2019,1.0,yes,,,,,,,,,,,,,
Shi2001-ga,ARTICLE,Cultural values and political trust: A comparison of the people's republic of China and Taiwan,2001-07,10.2307/422441,True,True,200,Cultural Values and Political Trust: A Comparison of the People's Republic of China and Taiwan,2001,1.0,yes,,,,,,,,,,,,,
Sniderman1991-uj,BOOK,Cambridge studies in public opinion and political psychology: Reasoning and choice: Explorations in political psychology: Explorations in political psychology,1991-08-30,10.1017/cbo9780511720468,True,True,200,Reasoning and Choice,1991,0.23,yes,,,,,,,,,,,,,
Stockmann2012-xq,BOOK,"Communication, society and politics: Media commercialization and authoritarian rule in China",2012-12-17,10.1017/cbo9781139087742,True,True,200,Media Commercialization and Authoritarian Rule in China,2012,0.76,yes,,,,,,,,,,,,,
Thayer2011-te,BOOK,Political legitimacy in Asia: New leadership challenges,2011-11-09,10.1057/9781137001474,True,True,200,Political Legitimacy in Asia,2011,0.68,yes,,,,,,,,,,,,,
Wong2011-zv,ARTICLE,The bases of political trust in six Asian societies: Institutional and cultural explanations compared,2011-06,10.1177/0192512110378657,True,True,200,The bases of political trust in six Asian societies: Institutional and cultural explanations compared,2011,1.0,yes,,,,,,,,,,,,,
Zhao2017-yw,ARTICLE,Les déterminants de la confiance du public dans le gouvernement : données empiriques en provenance de la Chine urbaine,2017-06-12,10.3917/risa.832.0365,True,True,200,Les déterminants de la confiance du public dans le gouvernement : données empiriques en provenance de la Chine urbaine,2017,0.99,yes,,,,,,,,,,,,,
