cite_key,entry_type,bib_title,bib_date,doi,format_valid,resolves,status_code,crossref_title,crossref_year,title_similarity,year_match,error,suggested_doi,suggested_title,suggested_year,suggestion_score,isbn,isbn_confirmed,isbn_ol_found,isbn_gb_found,isbn_found_title,isbn_found_year,isbn_title_match,isbn_found_doi
Ferrin2016-he,INBOOK,Introduction: Democracy—the European verdict,2016-03-03,10.1093/acprof:oso/9780198766902.003.0001,True,True,200,Introduction: Democracy—the European Verdict,2016,1.0,yes,,,,,,,,,,,,,
Shin2007-gu,BOOK,Democratization: Perspectives from Global Citizenries,2007-08-09,10.1093/oxfordhb/9780199270125.003.0014,True,True,200,Democratization: Perspectives from Global Citizenries,2009,1.0,no,,,,,,,,,,,,,
Perger2023-db,INBOOK,Cleft habitus,2023,10.1007/978-3-319-52269-2_63-1,True,True,200,Cleft Habitus,2023,1.0,yes,,,,,,,,,,,,,
Jong-Sung-You2015-qf,BOOK,"Democracy, inequality and corruption: Korea, Taiwan and the Philippines compared",2015-01-22,10.1017/cbo9781139939775,True,True,200,"Democracy, Inequality and Corruption",2015,0.62,yes,,,,,,,,,,,,,
Manski2003-wo,BOOK,Partial Identification of Probability Distributions,2003-05-12,10.1007/b97478,True,True,200,Partial Identification of Probability Distributions,2003,1.0,yes,,,,,,,,,,,,,
Comaroff2020-fc,INBOOK,Millennial capitalism: First thoughts on a second coming,2020-12-31,10.1515/9780822380184-001,True,True,200,Millennial Capitalism: First Thoughts on a Second Coming,2020,1.0,yes,,,,,,,,,,,,,
Dhammasami2007-af,INBOOK,"Buddhism, power and political order",2007-06-11,10.4324/9780203947494,True,True,200,"Buddhism, Power and Political Order",2007,1.0,yes,,,,,,,,,,,,,
Diamond2022-fz,ARTICLE,Empathetic exchange of censored scenes: Southeast Asian Theatre’s bold experiment,2022-11,10.1017/s0266464x22000252,True,True,200,Empathetic Exchange of Censored Scenes: Southeast Asian Theatre’s Bold Experiment,2022,1.0,yes,,,,,,,,,,,,,
Ricks2019-hs,ARTICLE,Thailand's 2019 vote: The general's election,2019-09-01,10.5509/2019923443,True,True,200,Thailand's 2019 Vote: The General's Election,2019,1.0,yes,,,,,,,,,,,,,
Wu2022-hz,ARTICLE,Regime Types and Winner-Loser Gaps in Support for Democracy in East Asia,2022,10.1080/13510347.2022.2036721,True,True,200,Regime types and winner-loser Gaps in support for democracy in East Asia,2022,1.0,yes,,,,,,,,,,,,,
Cohen2023-sm,ARTICLE,Winners’ consent? Citizen commitment to democracy when illiberal candidates win elections,2023-04,10.1111/ajps.12690,True,True,200,Winners’ Consent? Citizen Commitment to Democracy When Illiberal Candidates Win Elections,2023,1.0,yes,,,,,,,,,,,,,
Klingemann1999-dk,INBOOK,Mapping political support in the 1990s: A global analysis,1999-03-25,10.1093/0198295685.003.0002,True,True,200,Mapping Political Support in the 1990s: A Global Analysis,1999,1.0,yes,,,,,,,,,,,,,
Pankaew2022-pr,ARTICLE,Determinants of political participation in Thailand: An analysis of survey data (2002–2014),2022-01,10.1111/aspp.12625,True,True,200,Determinants of political participation in Thailand: An analysis of survey data (2002–2014),2022,1.0,yes,,,,,,,,,,,,,
Hu2025-yj,ARTICLE,An incomplete recipe: One-dimensional latent variables do not capture the full flavor of democratic support,2025-04,10.1177/20531680251341857,True,True,200,An incomplete recipe: One-dimensional latent variables do not capture the full flavor of democratic support,2025,1.0,yes,,,,,,,,,,,,,
Garoupa2024-vs,ARTICLE,"Measuring political institutions in the Long Run: A latent variable analysis of political regimes, 1810–2018",2024-07,10.1007/s11205-024-03364-1,True,True,200,"Measuring Political Institutions in the Long Run: A Latent Variable Analysis of Political Regimes, 1810–2018",2024,1.0,yes,,,,,,,,,,,,,
Acemoglu2024-an,ARTICLE,(Successful) democracies breed their own support,2024-05-16,10.1093/restud/rdae051,True,True,200,(Successful) Democracies Breed Their Own Support,2025,1.0,no,,,,,,,,,,,,,
Tai2022-yr,ARTICLE,"Democracy, public support, and measurement uncertainty",2022-05-05,10.1017/s0003055422000429,True,True,200,"Democracy, Public Support, and Measurement Uncertainty",2024,1.0,no,,,,,,,,,,,,,
Kang2021-ow,ARTICLE,Do people trust the government more? Unpacking the distinct impacts of anticorruption policies on political trust,2021-06,10.1177/1065912920912016,True,True,200,Do People Trust the Government More? Unpacking the Distinct Impacts of Anticorruption Policies on Political Trust,2021,1.0,yes,,,,,,,,,,,,,
Kolczynska2020-jy,ARTICLE,"Democratic values, education, and political trust",2020-02,10.1177/0020715220909881,True,True,200,"Democratic values, education, and political trust",2020,1.0,yes,,,,,,,,,,,,,
Dahlum2017-wd,ARTICLE,Democracy by demand? Reinvestigating the effect of self-expression values on political regime type,2017-04,10.1017/s0007123415000447,True,True,200,Democracy by Demand? Reinvestigating the Effect of Self-expression Values on Political Regime Type,2017,1.0,yes,,,,,,,,,,,,,
Bomhoff2012-oq,ARTICLE,"East Asia remains different: A comment on the index of “self-expression values,” by Inglehart and Welzel",2012-04,10.1177/0022022111435096,True,True,200,East Asia Remains Different,2012,0.43,yes,,,,,,,,,,,,,
Mauk2020-cn,ARTICLE,Disentangling an elusive relationship: How democratic value orientations affect political trust in different regimes,2020-06,10.1177/1065912919829832,True,True,200,Disentangling an Elusive Relationship: How Democratic Value Orientations Affect Political Trust in Different Regimes,2020,1.0,yes,,,,,,,,,,,,,
Kang2018-mz,ARTICLE,Delegative democratic attitudes: Theory and evidence from the Asian barometer survey,2018-09,10.1177/0192512117702755,True,True,200,Delegative democratic attitudes: Theory and evidence from the Asian barometer survey,2018,1.0,yes,,,,,,,,,,,,,
Inglehart2003-do,ARTICLE,How solid is mass support for democracy—and how can we measure it?,2003-01,10.1017/s1049096503001689,True,True,200,How Solid is Mass Support for Democracy—And How Can We Measure It?,2003,1.0,yes,,,,,,,,,,,,,
Bryan2023-eu,ARTICLE,What kind of democracy do we all support? How partisan interest impacts a citizen’s conceptualization of democracy,2023-09,10.1177/00104140231152784,True,True,200,What Kind of Democracy Do We All Support? How Partisan Interest Impacts a Citizen’s Conceptualization of Democracy,2023,1.0,yes,,,,,,,,,,,,,
Cho2014-ut,ARTICLE,To know democracy is to love it: A cross-national analysis of democratic understanding and political support for democracy,2014-09,10.1177/1065912914532721,True,True,200,To Know Democracy Is to Love It,2014,0.41,yes,,,,,,,,,,,,,
Iyengar1994-fk,BOOK,Is Anyone Responsible?: How television frames political issues,1994-08-17,10.7208/chicago/9780226388533.001.0001,True,True,200,Is Anyone Responsible?,1991,0.52,no,,,,,,,,,,,,,
Pandian2025-ww,ARTICLE,Engineering trust in Singapore’s covid-19 response,2025-07-03,10.1080/18752160.2024.2430134,True,True,200,Engineering Trust in Singapore’s Covid-19 Response,2025,1.0,yes,,,,,,,,,,,,,
Genova2025-gr,ARTICLE,"Trust in government, science, and vaccine confidence in Southeast Asia: A latent profile analysis",2025-08-30,10.1016/j.vaccine.2025.127536,True,True,200,"Trust in government, science, and vaccine confidence in Southeast Asia: A latent profile analysis",2025,1.0,yes,,,,,,,,,,,,,
Zoch2024-kf,ARTICLE,From rally to reality: unveiling long-term dynamics in political trust over two years of COVID-19 in Germany,2024-12-31,10.1080/2474736x.2024.2403438,True,True,200,From rally to reality: unveiling long-term dynamics in political trust over two years of COVID-19 in Germany,2024,1.0,yes,,,,,,,,,,,,,
Egorov2024-gq,ARTICLE,The political economics of non-democracy,2024-06-01,10.1257/jel.20221494,True,True,200,The Political Economics of Non-democracy,2024,1.0,yes,,,,,,,,,,,,,
Le2024-sv,ARTICLE,When communist propaganda meets western public relations: Examining Vietnam’s government pandemic communication,2024-01,10.1177/2046147x231218310,True,True,200,When communist propaganda meets western public relations: Examining Vietnam’s government pandemic communication,2024,1.0,yes,,,,,,,,,,,,,
Malesky2010-fu,ARTICLE,Nodding or needling: Analyzing delegate responsiveness in an authoritarian parliament,2010-08,10.1017/s0003055410000250,True,True,200,Nodding or Needling: Analyzing Delegate Responsiveness in an Authoritarian Parliament,2010,1.0,yes,,,,,,,,,,,,,
Truong2022-sp,ARTICLE,The impacts of media exposure on COVID-19 preventive behaviors among Vietnamese people: Evidence using expanded protection motivation theory,2022-04,10.1177/21582440221096129,True,True,200,The Impacts of Media Exposure on COVID-19 Preventive Behaviors Among Vietnamese People: Evidence Using Expanded Protection Motivation Theory,2022,1.0,yes,,,,,,,,,,,,,
Rich2021-ma,ARTICLE,The lingering effects of losing and nonvoting on institutional trust: An analysis of South Korea,2021-03,10.1177/0021909620926646,True,True,200,The Lingering Effects of Losing and Nonvoting on Institutional Trust: An Analysis of South Korea,2021,1.0,yes,,,,,,,,,,,,,
Carothers2024-xg,ARTICLE,Misunderstanding democratic backsliding,2024-07,10.1353/jod.2024.a930425,True,True,200,Misunderstanding Democratic Backsliding,2024,1.0,yes,,,,,,,,,,,,,
Rich2020-wm,ARTICLE,"Winners, losers, and the others: Disaggregating South Korean satisfaction with politics",2020-10,10.1111/aspp.12554,True,True,200,"Winners, losers, and the others: Disaggregating South Korean satisfaction with politics",2020,1.0,yes,,,,,,,,,,,,,
Hutcheson2016-oc,ARTICLE,Shortcut to legitimacy: Popularity in Putin’s Russia,2016-08-08,10.1080/09668136.2016.1216949,True,True,200,Shortcut to Legitimacy: Popularity in Putin’s Russia,2016,1.0,yes,,,,,,,,,,,,,
MacKinnon1985-rb,ARTICLE,Some heteroskedasticity-consistent covariance matrix estimators with improved finite sample properties,1985-09,10.1016/0304-4076(85)90158-7,True,True,200,Some heteroskedasticity-consistent covariance matrix estimators with improved finite sample properties,1985,1.0,yes,,,,,,,,,,,,,
Claassen2025-xl,ARTICLE,Conceptualizing and measuring support for democracy: A new approach,2025-05,10.1177/00104140241259458,True,True,200,Conceptualizing and Measuring Support for Democracy: A New Approach,2025,1.0,yes,,,,,,,,,,,,,
Bunte2023-pa,ARTICLE,Civil society and democratic decline in Southeast Asia,2023-12,10.1177/18681034231212488,True,True,200,Civil Society and Democratic Decline in Southeast Asia,2023,1.0,yes,,,,,,,,,,,,,
Valgarsson2022-cb,ARTICLE,What satisfaction with democracy? A global analysis of “satisfaction with democracy” measures,2022-09,10.1177/10659129211009605,True,True,200,What Satisfaction with Democracy? A Global Analysis of “Satisfaction with Democracy” Measures,2022,1.0,yes,,,,,,,,,,,,,
Magalhaes2025-cl,ARTICLE,Survey measures of democratic attitudes and social desirability bias,2025-09-12,10.1017/psrm.2025.10044,True,True,200,Survey measures of democratic attitudes and social desirability bias,2025,1.0,yes,,,,,,,,,,,,,
Linde2003-an,ARTICLE,Satisfaction with democracy: A note on a frequently used indicator in comparative politics,2003-05,10.1111/1475-6765.00089,True,True,200,Satisfaction with democracy: A note on a frequently used indicator in comparative politics,2003,1.0,yes,,,,,,,,,,,,,
Jones2025-tf,ARTICLE,"Pro-democratic, but not anti-authoritarian? Understanding ambivalent attitudes toward regimes",2025-08-13,10.1177/00104140251369320,True,True,200,"Pro-Democratic, but Not Anti-Authoritarian? Understanding Ambivalent Attitudes Toward Regimes",2025,1.0,yes,,,,,,,,,,,,,
Sadowski2024-wq,ARTICLE,Democratic backsliding against a rising wave of support for democracy? Explaining trends in attitudes toward democracy in Poland (1995–2021),2024-11,10.1177/02685809241284284,True,True,200,Democratic backsliding against a rising wave of support for democracy? Explaining trends in attitudes toward democracy in Poland (1995–2021),2024,1.0,yes,,,,,,,,,,,,,
Eck2025-jl,ARTICLE,"Defending the status quo or seeking change? Electoral outcomes, affective polarization, and support for referendums",2025,10.1017/s0007123425000365,True,True,200,"Defending the Status Quo or Seeking Change? Electoral Outcomes, Affective Polarization, and Support for Referendums",2025,1.0,yes,,,,,,,,,,,,,
Wuttke2022-wv,ARTICLE,"Have Europeans grown tired of democracy? New evidence from eighteen consolidated democracies, 1981–2018",2022-01,10.1017/s0007123420000149,True,True,200,"Have Europeans Grown Tired of Democracy? New Evidence from Eighteen Consolidated Democracies, 1981–2018",2022,1.0,yes,,,,,,,,,,,,,
Onyango2025-vu,BOOK,Routledge handbook of public policy in the global south,2025-05-27,10.4324/9781003561910,True,True,200,Routledge Handbook of Public Policy in the Global South,2025,1.0,yes,,,,,,,,,,,,,
Erhardt2023-um,ARTICLE,Political support through representation by the government. Evidence from Dutch panel data,2023-06,10.1111/spsr.12561,True,True,200,Political support through representation by the government. Evidence from Dutch panel data,2023,1.0,yes,,,,,,,,,,,,,
Monsivais-Carrillo2020-ck,ARTICLE,Permissive winners? The winner–loser gap in the perception of freedoms,2020,10.1177/0032321720952230https://doi.org/10.1177/0032321720952230the,True,False,404,,,,,DOI not found (404),,,,,,,,,,,,
Daoust2024-ie,ARTICLE,Reassessing the winner-loser gap in satisfaction with democracy,2024-12-17,10.1371/journal.pone.0314967,True,True,200,Reassessing the winner-loser gap in satisfaction with democracy,2024,1.0,yes,,,,,,,,,,,,,
Halliez2023-zu,ARTICLE,The winner-loser satisfaction gap in the absence of a clear outcome,2023-03,10.1177/13540688211058111,True,True,200,The winner-loser satisfaction gap in the absence of a clear outcome,2023,1.0,yes,,,,,,,,,,,,,
Mietzner2021-jr,BOOK,Democratic deconsolidation in southeast Asia: Democratization and its obstacles in southeast Asia,2021-08-26,10.1017/9781108677080,True,True,200,Democratic Deconsolidation in Southeast Asia,2021,0.63,yes,,,,,,,,,,,,,
Kongkirati2018-go,ARTICLE,The Prayuth regime: Embedded military and hierarchical capitalism in Thailand,2018-07,10.1017/trn.2018.4,True,True,200,The Prayuth Regime: Embedded Military and Hierarchical Capitalism in Thailand,2018,1.0,yes,,,,,,,,,,,,,
O-Neill2017-lk,ARTICLE,Cambodia in 2016: A tightening authoritarian grip,2017-02-01,10.1525/as.2017.57.1.180,True,True,200,Cambodia in 2016,2017,0.5,yes,,,,,,,,,,,,,
Peou1998-no,ARTICLE,The Cambodian elections of 1998 and beyond: Democracy in the making?,1998-12,10.1355/cs20_3d,True,True,200,The Cambodian Elections of 1998 and Beyond: Democracy in the Making?,1998,1.0,yes,,,,,,,,,,,,,
Un2013-zu,INBOOK,Cambodia in 2012: Towards developmental authoritarianism?,2013-12-31,10.1355/9789814459563-009,True,True,200,Cambodia in 2012: Towards Developmental Authoritarianism?,2013,1.0,yes,,,,,,,,,,,,,
Sutton2018-qp,ARTICLE,Hun sen’s consolidation of personal rule and the closure of political space in Cambodia,2018-08-31,10.1355/cs40-2a,True,True,200,Hun Sen’s Consolidation of Personal Rule and the Closure of Political Space in Cambodia,2018,1.0,yes,,,,,,,,,,,,,
Un2002-qm,ARTICLE,Cambodia in 2001: Toward democratic consolidation?,2002-02-01,10.1525/as.2002.42.1.100,True,True,200,Cambodia in 2001: Toward Democratic Consolidation?,2002,1.0,yes,,,,,,,,,,,,,
Long2012-lx,BOOK,The handbook of political behavior: Volume 1,2012-03-02,10.1007/978-1-4684-1074-7,True,True,200,The Handbook of Political Behavior,1981,0.88,no,,,,,,,,,,,,,
Klaver2012-iq,BOOK,Sites of autopsy in contemporary culture,2012-02-01,10.2307/jj.18252839,True,True,200,Sites of Autopsy in Contemporary Culture,2012,1.0,yes,,,,,,,,,,,,,
Bellamy2008-gk,BOOK,Citizenship: A Very Short Introduction: A Very Short Introduction,2008-09-25,10.1093/actrade/9780192802538.001.0001,True,True,200,Citizenship,2008,0.3,yes,,,,,,,,,,,,,
Brady2019-zz,ARTICLE,Theories of the causes of poverty,2019-07-30,10.1146/annurev-soc-073018-022550,True,True,200,Theories of the Causes of Poverty,2019,1.0,yes,,,,,,,,,,,,,
Gerring2017-ie,ARTICLE,Qualitative methods,2017-05-11,10.1146/annurev-polisci-092415-024158,True,True,200,Qualitative Methods,2017,1.0,yes,,,,,,,,,,,,,
Loughlin2021-uf,ARTICLE,Introduction to special issue: The Cambodian people's party's turn to hegemonic authoritarianism: Strategies and envisaged futures,2021,10.1355/cs43-2a,True,True,200,Introduction to Special Issue: The Cambodian People's Party's Turn to Hegemonic Authoritarianism: Strategies and Envisaged Futures,2021,1.0,yes,,,,,,,,,,,,,
Lupu2018-jx,ARTICLE,Advances in survey methods for the developing world,2018-05-11,10.1146/annurev-polisci-052115-021432,True,True,200,Advances in Survey Methods for the Developing World,2018,1.0,yes,,,,,,,,,,,,,
Przeworski1985-rj,ARTICLE,Marxism and rational choice,1985-12-01,10.1177/003232928501400401,True,True,200,Marxism and Rational Choice,1985,1.0,yes,,,,,,,,,,,,,
Wasburn2017-lp,BOOK,Making citizens: Political socialization research and beyond,2017-02-01,10.1007/978-3-319-50243-4,True,True,200,Making Citizens,2017,0.41,yes,,,,,,,,,,,,,
Curato2020-rk,ARTICLE,Authoritarian Innovations: Crafting support for a less democratic Southeast Asia,2020-08-17,10.1080/13510347.2020.1777985,True,True,200,Authoritarian Innovations: Crafting support for a less democratic Southeast Asia,2020,1.0,yes,,,,,,,,,,,,,
Bhungalia2020-jf,ARTICLE,"Laughing at power: Humor, transgression, and the politics of refusal in Palestine",2020-05-01,10.1177/2399654419874368,True,True,200,"Laughing at power: Humor, transgression, and the politics of refusal in Palestine",2020,1.0,yes,,,,,,,,,,,,,
