"variable","label","w2_wording","w3_wording","w4_wording","w6_wording","status","notes"
"strongman_rule","Strongman rule","Should we get rid of parliament and elections for a strong leader? (1–4)","Should we get rid of parliament and elections for a strong leader? (1–4)","Should we get rid of parliament and elections for a strong leader? (1–4)","Should we get rid of parliament and elections for a strong leader? (1–4)","Full","Consistent 1–4 scale across all waves."
"military_rule","Military rule","Should the military rule the country? (1–4)","Should the military rule the country? (1–4)","Should the military rule the country? (1–4)","Should the military rule the country? (1–4)","Full","Consistent 1–4 scale across all waves."
"dem_country_future","Democratic future (0-10)","Not collected in W2","How democratic will this country be in 10 years? (0–10)","How democratic will this country be in 10 years? (0–10)","How democratic will this country be in 10 years? (0–10)","Partial","W2 not collected. W3/W4/W6 comparable on identical 0–10 scale."
"dem_country_past","Democratic past (0-10)","Not collected in W2","How democratic was this country 10 years ago? (0–10)","How democratic was this country 10 years ago? (0–10)","How democratic was this country 10 years ago? (0–10)","Partial","W2 not collected. W3/W4/W6 comparable."
"dem_country_present_govt","Democratic present (0-10)","How democratic is this country today? (partial coverage, W2)","How democratic is this country today? (0–10 scale, government performance framing)","How democratic is this country today? (0–10 scale, government performance framing)","How democratic is this country today? (0–10 scale, government performance framing)","Partial","W2 has ~53% nonresponse; low confidence on W2 estimate. W3/W4/W6 comparable."
"corrupt_witnessed","Witnessed corruption (binary)","Has any government official asked you for a bribe? (binary W2)","Have you or anyone in your family personally experienced or witnessed government corruption? (broader)","Have you or anyone in your family personally experienced or witnessed government corruption?","Have you or anyone in your family personally experienced or witnessed government corruption?","Partial","W2 wording is narrower (bribe solicitation only); W3–W6 use broader witnessed/experienced framing. W2↔W3 comparison should be treated with caution."
"corrupt_national_govt","National govt corruption","How widespread is corruption in national government? (1–4)","How widespread is corruption in national government? (1–4)","How widespread is corruption in national government? (1–4)","How widespread is corruption in national government? (1–4)","Full","Consistent 1–4 scale across all waves."
"corrupt_local_govt","Local govt corruption","How widespread is corruption in local government? (1–4)","How widespread is corruption in local government? (1–4)","How widespread is corruption in local government? (1–4)","How widespread is corruption in local government? (1–4)","Full","Consistent 1–4 scale across all waves."
"pol_news_follow","Follows political news","How often do you follow political news? (1–5)","How often do you follow political news? (1–5)","How often do you follow political news? (1–5)","How often do you follow political news? (1–5)","Full","Consistent 1–5 scale across all waves."
"news_internet","Internet news (harmonized)","How often do you get news from internet? (6-point scale)","How often do you get news from internet? (6-point scale)","How often do you get news from internet? (8-point scale — harmonized to 6pt)","How often do you get news from internet? (9-point scale — harmonized to 6pt)","Partial","Response scale differs across waves (6pt W2/W3, 8pt W4, 9pt W6). Harmonized to common 1–6 scale. Within-frequency comparisons (never vs. daily) valid; fine distinctions within daily use not comparable."
"political_interest","Political interest","How interested are you in politics? (1–4)","How interested are you in politics? (1–4)","How interested are you in politics? (1–4)","How interested are you in politics? (1–4)","Full","Consistent 1–4 scale across all waves."
"pol_discuss","Discusses politics","How often do you discuss politics with friends or family? (1–3)","How often do you discuss politics with friends or family? (1–3)","How often do you discuss politics with friends or family? (1–3)","How often do you discuss politics with friends or family? (1–3)","Full","Consistent 1–3 scale across all waves."
